init_goal,time
wp10_wp11,1.340406522998819128e+00
wp10_wp12,1.303403938996780198e+00
wp10_wp13,1.331039819000579882e+00
wp10_wp14,1.271526564996747766e+00
wp10_wp15,1.270969526995031629e+00
wp10_wp16,1.259159377004834823e+00
wp10_wp17,1.257258924000780098e+00
wp10_wp18,1.274644540993904229e+00
wp10_wp19,1.254266955002094619e+00
wp10_wp21,1.269240474997786805e+00
wp10_wp22,1.273835509993659798e+00
wp10_wp23,1.269541989997378550e+00
wp10_wp24,1.270486043002165388e+00
wp10_wp25,1.252704564998566639e+00
wp10_wp26,1.239749704000132624e+00
wp10_wp27,1.260994090996973682e+00
wp10_wp28,1.284725491997960489e+00
wp10_wp29,1.262387369002681226e+00
wp10_wp30,1.280380329000763595e+00
wp10_wp31,1.257867268999689259e+00
wp10_wp32,1.262668028997723013e+00
wp10_wp33,1.265147505000641104e+00
wp10_wp34,1.259410904000105802e+00
wp10_wp35,1.258891055003914516e+00
wp10_wp36,1.289347783000266645e+00
wp10_wp37,1.255130396006279625e+00
wp10_wp38,1.252488156998879276e+00
wp10_wp39,1.267654898001637775e+00
wp10_wp40,1.326890215997991618e+00
wp10_wp42,1.264738138997927308e+00
wp10_wp43,1.256100446997152176e+00
wp10_wp44,1.254039063998789061e+00
wp10_wp45,1.283098877000156790e+00
wp10_wp46,1.250750068997149356e+00
wp10_wp47,1.298076300001412164e+00
wp10_wp48,1.315687804999470245e+00
wp10_wp49,1.370603317998757120e+00
wp10_wp50,1.261658264003926888e+00
wp10_wp51,1.249591316001897212e+00
wp10_wp52,1.311678067999309860e+00
wp10_wp53,1.249328063997381832e+00
wp10_wp54,1.250165516998094972e+00
wp10_wp55,1.242912766007066239e+00
wp10_wp56,1.261399421004171018e+00
wp10_wp57,1.273181457996543031e+00
wp10_wp58,1.267675055998552125e+00
wp11_wp1,1.289499146005255170e+00
wp11_wp2,1.280494419996102806e+00
wp11_wp3,1.271259720997477416e+00
wp11_wp4,1.278452808997826651e+00
wp11_wp5,1.357106445000681560e+00
wp11_wp6,1.269871206997777335e+00
wp11_wp7,1.275297849002527073e+00
wp11_wp8,1.265006644003733527e+00
wp11_wp9,1.257664919998205733e+00
